name,price,rpm,color,size,
Lian Li Galahad II Trinity,116.73,2450,Black,240,
Asus ROG STRIX LC II ARGB,144.99,"8,002,500",White / Black,360,
Corsair iCUE H150i RGB ELITE,164.99,"4,001,850",White,360,
Noctua NH-U12S,74.95,"3,001,500",,,
Corsair H100i v2,310.82,2435,,240,
Thermalright Assassin Spirit V2,,1500,Gray,,
Deepcool AK400 DIGITAL WH,46.98,"5,001,850",White,,
Vetroo V240,59.99,1800,Black,240,
Deepcool AK500 DIGITAL,58.98,"5,001,850",Black,,
Noctua NH-D12L CHROMAX.BLACK,99.9,"4,502,000",Black,,
be quiet! Pure Loop 2 FX,89.9,,Black,240,
Phanteks GLACIER ONE 360D30,179.99,"2,502,000",Black,360,
Thermalright Assassin Spirit 120 EVO WHITE ARGB,20.9,1850,White,,
NZXT Kraken X63,,"5,002,000",Black,280,
Corsair H150i PRO,371.6,1600,,360,
Asus ROG Ryujin III,299.99,"4,502,000",Black,360,
Corsair iCUE H115i ELITE CAPELLIX XT,169.99,"5,001,700",Black,280,
Lian Li Galahad II Trinity Performance,159.99,"23,003,000",White,360,
Lian Li GALAHAD AIO 360 RGB,259.95,"8,001,900",White / Silver,360,
Thermalright AXP90-X53 FULL,47.9,2700,Copper / Orange,,
Corsair iCUE LINK H150i RGB,214.99,"4,802,400",White,360,
ARCTIC Liquid Freezer II 240 A-RGB,99.99,"2,001,800",Black / Gray,240,
ARCTIC Liquid Freezer II 420 A-RGB,99.99,"2,001,900",Black,420,
Deepcool LE720,,"5,002,250",White,360,
ARCTIC Alpine 23 CO,13.88,"1,002,000",Black,,
Corsair A115,99.99,"4,001,600",Black,,
Cooler Master Hyper 212 EVO V2,91.99,"6,501,800",Black / Silver,,
Cooler Master Hyper 212 RGB Black Edition,99.99,"6,502,000",Black,,
ARCTIC Liquid Freezer II 280 A-RGB,102.99,"2,001,900",Black,280,
Asus ROG RYUO III 360 ARGB,189.99,2200,Black,360,
Thermalright Frozen Prism ARGB,50.9,1850,Black,240,
Fractal Design Lumen S24 RGB V2,113.98,"5,002,000",Black,240,
Thermaltake TH360 V2 ARGB Sync,117.99,"5,002,000",Black,360,
Cooler Master MasterLiquid 240 Atmos,119.99,"6,902,500",Black,240,
Deepcool LS520S ZERO DARK,79.98,"5,002,250",Black,240,
NZXT Kraken 280 RGB,177.99,"5,001,500",White,280,
Noctua NH-D15S,99.95,"3,001,500",,,
MSI MEG CORELIQUID S360,169,,Black,360,
ARCTIC Alpine AM4,10.25,"1,002,000",Black / White,,
Corsair iCUE H100i ELITE CAPELLIX,200,2400,Black,240,
Noctua NH-U14S,79.95,"3,001,500",,,
ARCTIC Liquid Freezer III A-RGB,131.99,"2,001,900",White,280,
Corsair iCUE H100i RGB ELITE,149.99,"4,001,850",White,240,
ARCTIC Alpine 17 CO,12.99,"2,502,700",Black,,
Thermalright Frozen Prism ARGB,55.9,1850,White,360,
Deepcool AG200,,"5,003,050",Black / Silver,,
MSI MPG CORELIQUID D360,201.99,,Black,360,
Thermalright Frost Commander 140 BLACK,39.9,1800,Black,,
Thermalright Assassin X Refined SE PLUS,22.29,1550,Black / Silver,,
be quiet! Silent Loop 2 360,215,2200,Black,360,
GAMDIAS BOREAS E1,,"8,002,000",Black / Silver,,
Deepcool AG500 BK ARGB,36.98,"3,001,850",Black,,
ARCTIC Freezer 36 A-RGB,43.99,"2,002,000",White,,
Thermaltake UX200 SE ARGB,24.99,"8,001,800",Black,,
Deepcool LS720 WH,134.99,"5,002,250",White,360,
Cooler Master MasterLiquid 120L Core,59.99,"6,501,750",Black,120,
Deepcool AK500,58.99,"5,001,850",White,,
Gigabyte AORUS WATERFORCE X,199.99,"8,002,500",Black,360,
ARCTIC Alpine 17,11.99,"1,002,000",Black / White,,
ID-COOLING FROZN A400 BLACK,24.99,"5,002,200",Black,,
Thermalright AXP120-X67,33.9,1800,Black,,
be quiet! Dark Rock Slim,59.9,1500,Black,,
NZXT Kraken Z73 RGB,,"5,001,500",Black,360,
Cooler Master MasterLiquid 240L Core,94.71,"6,501,750",Black,240,
Corsair iCUE H115i RGB ELITE,159.99,"4,001,600",Black,280,
Phanteks GLACIER ONE 360D30,169.99,"2,502,000",White,360,
MSI MAG CORELIQUID C240,99.99,"5,002,000",Black,240,
Lian Li Galahad II Trinity,136.53,2450,White,240,
Noctua NH-P1,109.9,,Silver,,
Asus ROG RYUO III 360 ARGB WHITE EDITION,186.78,2200,White,360,
Deepcool GAMMAXX AG620 ARGB,47.99,"3,001,850",Black,,
Lian Li Galahad II LCD,229.9,"3,002,450",Black,360,
MSI MAG CORELIQUID E360,135,,Black,360,
Deepcool LS520,81.98,"5,002,250",Black,240,
ID-COOLING DASHFLOW 240 BASIC,64.98,"7,001,800",Black,240,
Cooler Master MasterLiquid ML360 Illusion,145.61,"6,501,800",Black / Silver,360,
NZXT Kraken X73 RGB,389.95,"5,001,500",Black,360,
ARCTIC Freezer 34 eSports DUO,47.07,"2,002,100",Black / Gray,,
be quiet! Pure Rock LP,,2500,Black,,
Thermalright Assassin King 120 Mini WHITE ARGB V3,18.98,1500,White / Silver,,
Thermalright AXP90-X36,22.9,2700,Gray,,
