name,price,memory,core_clock,color
Asus DUAL OC,439.99,12,1700,Black
Gigabyte AERO OC,489.99,12,1920,White / Silver
MSI VENTUS 3X OC,599.99,8,1575,Black / Silver
PowerColor Hellhound Spectral,1399,24,2300,White
Zotac GAMING Twin Edge OC,314.99,12,1320,Black
EVGA XC3 ULTRA GAMING,494.02,8,1500,Black / Silver
EVGA XC GAMING,397,12,1320,Black
Asus Noctua OC,1349.99,16,2210,Brown / Black
Gigabyte GAMING OC,616.46,16,2310,Black
Gigabyte AORUS MASTER,1899.99,24,2235,Black
Sapphire PULSE,585.95,12,2321,Black
Diamond 5450PE31G,,1,650,Red / Silver
Gigabyte OC,,6,1530,Black / Silver
XFX Speedster MERC 319,549.99,16,2009,Black
MSI VENTUS 2X OC,940.31,16,2340,Black / Silver
MSI GeForce GTX 1650 SUPER,379,4,1530,Black / Silver
Zotac Twin Edge OC,329,8,1410,Black
NVIDIA Founders Edition,469.98,8,1515,Black / Silver
MSI GAMING X SLIM,1169.99,16,2205,White / Silver
Zotac GAMING AMP,,12,1320,White
MSI VENTUS 3X OC,1166.89,16,2205,Black
XFX Speedster QICK 308 Black,269.99,8,1875,Black
Sparkle ORC OC,159.99,8,1700,Blue / Black
Gigabyte WINDFORCE OC,363.2,12,1320,Black
Asus Phoenix OC,242,6,1530,Black / White
Asus ProArt OC,579.99,12,1920,Black
ASRock Low Profile,119.99,6,2000,Black
NVIDIA Founders Edition,,11,1480,Black / Silver
Asus ROG STRIX GAMING OC,749,12,1980,Black
EVGA SC ULTRA GAMING,210,6,1530,Silver / Black
Sapphire PULSE,,8,1257,Black
Zotac GAMING Twin Edge OC,633.82,12,1920,White
MSI VENTUS 2X OC,819.99,16,2340,White / Silver
Gigabyte WINDFORCE OC,390.99,8,2310,Black / Silver
Asus Phoenix GeForce RTX 3060 V2,346.11,12,1320,Black
MSI GeForce RTX 3060 Ventus 2X 12G OC,,12,1320,Black
Gigabyte OC,380,6,1500,Black / Gray
MSI VENTUS 2X OC,749.99,12,2310,Silver / Black
Asus DUAL,279,8,1626,Black / Silver
Gigabyte GAMING OC,799.01,8,1575,Black / Silver
Asus DUAL OC,499,16,2310,Black
Asus TUF GAMING OC,879.99,12,2310,White
MSI GAMING X SLIM,623.16,16,2310,Black
Gigabyte GAMING OC,799.99,12,2310,Black
MSI GAMING X,,8,1470,Black / Silver
Zotac GAMING Trinity OC,899,24,1395,Black
Asus TUF GAMING OC,615,8,1410,Black
PNY VERTO,391.36,8,1410,Black
Sparkle TITAN OC,319.99,16,2100,Blue / Black
PNY XLR8 Gaming VERTO EPIC-X RGB OC,1761.06,24,2230,Black
Asus ROG STRIX OC EVA-02,5024.6,24,2235,Red / Black
MSI D3H LP,46.9,1,954,Black
EVGA KO ULTRA GAMING,324.2,6,1365,Black
MSI RX 6600 XT MECH 2X 8G OC,433.51,8,1968,Black / Silver
MSI RTX 3070 GAMING X TRIO,550.66,8,1500,Black / Silver
MSI GAMING TRIO,1879.99,24,2235,Black
Gigabyte GAMING OC,399.99,8,1650,Black
Zotac GAMING Twin Edge,487.07,8,2310,Black
Asus ROG STRIX GAMING OC,1049.99,12,2310,Black
Asus STRIX GAMING OC,979,11,1350,Black
ASRock Phantom Gaming OC,299.99,16,2100,Black
Gigabyte GAMING OC,259.99,8,1550,Black
PowerColor Hellhound OC,829.99,20,2000,White
MSI GAMING X TRIO,1587,16,2205,Black
Gigabyte GAMING OC,,10,1440,Black / Gray
Asus TUF GAMING OC,439.99,8,2310,Black
MSI GAMING X SLIM,858.58,12,1980,White
MSI LP OC,179.99,6,1040,Black
NVIDIA Founders Edition,746.96,8,1605,Silver
MSI GAMING X,,6,1500,Black
Intel Limited Edition,,16,2100,Black
MSI GAMING X,409.99,8,2310,Black
Gigabyte GAMING OC,409.99,8,2310,Black
Asus ROG STRIX GAMING OC,698.05,12,1920,Black / Red
ASRock Challenger ITX,124.99,4,1923,Black / Silver
ASRock Phantom Gaming OC,529.99,16,1295,Black
Asus ROG STRIX LC GAMING OC,3458.49,24,2235,Black / Silver
Asus ROG STRIX-GTX1070-O8G-GAMING,569.97,8,1632,Black
XFX Speedster SWFT 210 Core,229.99,8,2055,Black
Asus DUAL,512.43,6,1594,White
MSI RX 580 8G,260,8,1257,Black / Red
Asus GT1030-2G-CSM,89.99,2,1266,Black / Blue
Sapphire PULSE,,8,1670,Black / Red
Gigabyte GV-N1030D4-2GL,64.98,2,1151,Black
EVGA SC2,485,11,1556,Silver
MSI MECH 2X OC,279.99,8,2055,Silver / Black
Gigabyte AORUS MASTER,899.99,16,2340,Black
Asus ProArt OC,849.99,12,2310,Black / Gold
Sapphire NITRO+,947.48,20,2000,Silver / Black
Asus DUAL OC,530.65,8,1410,White
XFX Speedster SWFT 319,409.99,16,1825,Black
Asus DUAL OC,449,12,1320,White
Asus ROG STRIX GAMING OC,1608.48,16,2205,Black / Red
Gainward Ghost,,12,1980,Black
ASRock Challenger OC,259.99,8,1720,Black
PNY XLR8 Gaming VERTO EPIC-X RGB,389.99,8,2310,Black
MSI GAMING X SLIM,819.82,12,1920,White
Asus STRIX GAMING OC,1439.99,24,1395,Black
Asus DUAL OC,468.1,8,1500,Black
EVGA XC3 ULTRA GAMING,769.9,10,1440,Black
MSI Radeon RX 5600 XT GAMING MX,,6,1280,Black / Silver
Asus ROG STRIX GAMING,1949.99,24,2235,Black
PowerColor Red Dragon OC,698,16,1825,Black
MSI GAMING X SLIM,869.99,16,2340,White / Silver
MSI GeForce RTX 3060 Gaming X12G,,12,1320,Black / Silver
ASRock Challenger D OC,139,4,1685,Black / Yellow
PowerColor Fighter,,12,2321,Black
Asus DUAL EVO OC,309.99,8,1830,Black
Asus ROG STRIX GAMING OC,1438.99,12,1365,Black / Silver
Palit JetStream OC,,16,2210,Black
MSI Ventus XS OCV1,159.99,4,1410,Black / Silver
Asus ROG STRIX TOP,,8,1257,Black
MSI GAMING X SLIM MLG,604.99,12,1980,Black / Red
Zotac GAMING AMP,229.99,6,1530,Black
Gigabyte OC Low Profile,189.99,6,1040,Black
Gigabyte WINDFORCE 2X OC,549.99,12,2475,Black / Silver
Gigabyte AERO OC,1469.99,16,2205,White
Asus TUF GAMING,999.9,12,2310,Black
PowerColor Fighter,259.99,8,1720,Black
Gigabyte WINDFORCE OC 3X,,8,1605,Black
Gigabyte OC,,6,1365,Black
AMD 100-300000053,,24,2300,Black
Zotac GAMING AMP Holo,869.99,16,2340,Black
ASRock Low Profile,99.99,4,2000,Black
