name,price,capacity,
Western Digital Caviar Green,,2000,
Western Digital Red Plus,168.6,8000,
FanXiang S660,,1000,
Seagate Exos X18,219.99,14000,
Samsung PM961,93.99,512,
Samsung 840 Pro,,128,
Toshiba X300,158.99,8000,
Western Digital Blue,85.64,500,
Seagate FireCuda 530 w/Heatsink,569.57,4000,
Kingston A400,40.99,240,
Corsair MP700 PRO SE,579.99,4000,
Sabrent Rocket Q4,,4000,
KingSpec VP101,137.99,1000,
SK Hynix Platinum P41,82.99,500,
Seagate Enterprise Capacity,192,10000,
FanXiang S500 Pro,,256,
Western Digital Ultrastar DC HC560,459,22000,
SanDisk SSD PLUS,64.15,120,
Intenso High Performance,18.66,120,
Samsung 960 Evo,197.99,1000,
SanDisk Ultra 3D,127.37,500,
Hitachi 0F14683,77,4000,
Seagate BarraCuda Pro,285,14000,
Western Digital Gold,379.99,18000,
PNY CS2230,105.02,1000,
Silicon Power A55,30.36,128,
Patriot Burst Elite,28.99,480,
Lexar NS100,39.99,256,
TEAMGROUP MP34,,1000,
Seagate FireCuda 520,170,1000,
Toshiba DT01ACA300,,3000,
Leven JM600,20.99,256,
Western Digital Ultrastar DC HC550,339.99,18000,
KingSpec XG7000 PRO,149.99,2000,
Gigabyte AORUS Gen4,,500,
Toshiba P300,,2000,
Corsair MP600 PRO LPX,102.99,1000,
Western Digital Caviar Black,79.95,1000,
Seagate BarraCuda,,500,
Toshiba HDKBB96,35.99,1000,
Sabrent Rocket,,256,
Western Digital Black SN750,409,2000,
Western Digital Green,52.24,240,
Patriot P400 Lite,109.99,2000,
PNY CS2140,54,500,
ADATA SU800,55.99,512,
Intel DC P4511,140.19,1000,
Western Digital Blue,104.99,6000,
Kingston Fury Renegade with Heat Sink,124.99,1000,
Sabrent Rocket 4 Plus G,499.99,4000,
MSI SPATIUM M390,,500,
Seagate BarraCuda Pro,106.99,6000,
Corsair MP600 PRO NH,429.99,4000,
Kingston Q500,68.98,960,
Western Digital Black SN750 SE,,1000,
Western Digital Blue,119.99,4000,
Inland Professional,64.98,1000,
ADATA Ultimate SU650,24.99,240,
Toshiba S300,126.87,4000,
Seagate ST500LM000,40,500,
TEAMGROUP MP34,,2000,
MSI SPATIUM M461,,1000,
Intel 660p,164,2048,
SanDisk Ultra 3D,,1000,
Seagate Enterprise Capacity,170,10000,
PNY CS2140,117.3,1000,
ADATA LEGEND 970,289.99,2000,
TEAMGROUP EX2,,8000,
Gigabyte Gen3 2500E,56.78,500,
Western Digital VelociRaptor,197.26,1000,
Corsair MP510,168.46,960,
ADATA SU800,104.99,1000,
Samsung 850 Pro,190,512,
TEAMGROUP T-Create Classic,111.99,2000,
Corsair MP600 GS,58.99,500,
Seagate Archive HDD v2,175.9,5000,
Kingston KC600,98.77,1024,
Acer FA100,72.98,1000,
Western Digital Red Pro,129.99,4000,
Western Digital Blue,157.86,2000,
Verbatim Vi550,19.77,128,
Corsair MP600 PRO LPX,69.98,500,
Seagate ST500LM021,25.99,500,
Intel DC P3700,1200,800,
MSI SPATIUM M370,,1000,
Seagate FireCuda,62.4,1000,
Transcend TS32GSSD370S,33.99,32,
Seagate FireCuda 530 w/Heatsink,224.75,2000,
SK Hynix Gold S31 1000,,1000,
